feature,weight,overall_avg_total_time,case_1_avg_total_time,case_2_avg_total_time,case_3_avg_total_time,case_4_avg_total_time,best_so_far_avg_total_time,weights_json
maneuver,-8.25,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -8.25, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-8.0,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -8.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-7.75,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -7.75, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-7.5,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -7.5, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-7.25,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -7.25, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-7.0,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -7.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-6.75,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -6.75, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-6.5,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -6.5, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-6.25,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -6.25, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-6.0,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -6.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-5.75,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -5.75, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
maneuver,-5.5,58.55,53.62,53.62,67.18,59.78,58.55,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": -5.5, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.0}"
