seed,policy_type,num_robots,num_aisles,capacity,arrival_rate,Favg,Fmax,Throughput,BlockingTime,AvgQueueLength,DeadlockCount,TriggerCount,RerouteCount,CollisionAttempts,ForcedRelocationCount,RobotUtilization,AverageTravelDistance,Zone0AvgQueueLength,Zone1AvgQueueLength,Zone2AvgQueueLength,Zone3AvgQueueLength,Zone4AvgQueueLength
2,fsd,3,6,small,high,121.05357142857143,272.0,56.0,45.0,20.868,0.0,20.0,0.0,28,0,0.99,480.0,3.34,9.478,8.05,,
2,rule_based,3,6,large,low,56.25806451612903,184.0,31.0,164.0,2.582,0.0,0.0,24.0,84,0,0.9686666666666667,429.6666666666667,1.002,0.78,0.8,,
2,fsd,3,6,large,low,103.8125,196.0,32.0,71.0,5.228,0.0,18.0,2.0,38,0,0.9733333333333334,463.0,1.382,2.018,1.828,,
2,rule_based,3,6,large,medium,67.76923076923077,271.0,26.0,460.0,14.884,0.0,0.0,49.0,238,0,0.984,338.6666666666667,3.94,6.172,4.772,,
2,fsd,3,6,large,medium,134.3548387096774,268.0,31.0,23.0,13.938,0.0,10.0,0.0,14,0,0.984,484.3333333333333,3.06,4.36,6.518,,
2,rule_based,3,6,large,high,43.979166666666664,188.0,48.0,120.0,23.482,0.0,0.0,17.0,62,0,0.99,455.0,1.76,10.854,10.868,,
2,fsd,3,6,large,high,159.64705882352942,343.0,34.0,68.0,30.356,0.0,32.0,0.0,42,0,0.99,472.3333333333333,4.382,12.832,13.142,,
2,rule_based,3,12,small,low,42.256410256410255,130.0,39.0,101.0,0.718,1.0,0.0,12.0,52,1,0.9073333333333333,419.6666666666667,0.308,0.236,0.174,,
2,fsd,3,12,small,low,185.6,369.0,25.0,337.0,10.11,0.0,168.0,0.0,172,0,0.95,362.6666666666667,2.834,4.446,2.83,,
2,rule_based,3,12,small,medium,50.18867924528302,167.0,53.0,93.0,4.58,2.0,0.0,10.0,48,2,0.972,448.3333333333333,1.7,1.648,1.232,,
